,news,class
17,"Smoke that covered New York, New Jersey and Connecticut after the Canadian wildfires “was a planned operation in geoengineering.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
18,Recent wildfires in California were planned to clear land for a high-speed rail system.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
19,Recent wildfires in Canada were simultaneously ignited using weapons.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
20,"Photo of woman in Team Trump attire is Aileen Cannon, the Trump-appointed judge presiding over the classified documents case.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
21,Donald Trump “never changed one immigration law.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
22,"“Italy announced they are changing LGBT Pride month to Family Pride Month,” in order to “celebrate traditional families.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
23,The wildfires in Canada were planned.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
24,Boiling tap water causes fluoride in the water to be “more toxic.”,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
25,"Having ""biological boys … in their locker rooms” is a reason why “a third of our teenage girls seriously contemplated suicide last year.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
26,"""Americans will get $1.1 B in rebates from health insurance companies this year cuz of a provision I wrote in the ACA.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
27,"""Every study has shown” that when work requirements are tied to federal safety-net programs, “it puts more people to work.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
28,On exceptions to Wisconsin's abortion ban,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-flip/2cee648eb2a2fd98ac09665408341431.jpg
29,“Arizona BANS Electronic Voting Machines.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
30,A chart on Arctic sea ice provides evidence that Al Gore was wrong when he said in 2009 that the north polar ice cap would lose all of its ice “within the next five to seven years.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
31,Roseanne Barr made a video of a rainbow in a sprinkler questioning 'what the heck is in our water supply.',https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
32,"Estas imágenes tomadas ""con 100 años de diferencia"" muestran que el nivel del mar no ha subido.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
33,U.S. destroyer recently fired at an armed Iranian ship.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
34,"Said he was “able to convince India, Australia, Japan, and the United States to form an organization called the Quad to maintain stability in the Indian Ocean and the South China Sea.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
35,"Infertility is treated differently than other issues and ""often excluded from insurance coverage""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-true/25acde30f2a9b90f9688a5380c39e8eb.jpg
36,"""The NEXT pandemic is here and children are the target, says Bill Gates.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
37,"""NYC mayor plans to track and limit meat and dairy.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
38,“The share of working-age men choosing to work is the lowest it has ever been.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
39,COVID-19 vaccines administered during pregnancy drove an increase in cases of myocarditis in babies.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
40,A bill in Connecticut that changes the definition for “sexual orientation” would protect “minor attracted persons” from discrimination.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
41,"A video shows former President Barack Obama referring to his wife, Michelle as “Michael.”",https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
42,"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-true/25acde30f2a9b90f9688a5380c39e8eb.jpg
43,"“U.S. military is now testing soldiers for AIDS, after DOD database reports 500% increase in HIV since the COVID vaccine rollout.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
44,Video shows “Pelosi CRIES LIKE KID after McCarthy kicked her out as speaker.”,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
45,“(I will oppose) any attempt to restrict or deny women’s basic health care needs.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-full-flop/ad5b228627f4e9b88e37cb2d78b508d1.jpg
46,New Washington state law allows “government to take away minors from parents if they refuse to agree to gender-transition surgery.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
47,"“We are about 1 degree Celsius above the coldest it’s been in the last 10,000 years” and “that’s why we shouldn’t be panicking.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
48,"""Latino small businesses are 1 in 4 new businesses, but only 1% of venture capital funding goes to Latino businesses.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
49,California has approved $1.2 million in reparations for every Black resident.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
50,“Donald Trump himself wrote a book where he was talking about the need to increase the age of eligibility for Social Security to 70.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
51,"House Speaker “Kevin McCarthy has quietly implemented a pay raise for members (of Congress) that could be $30,000+ per person. It circumvents the Constitution by instead reimbursing their rent, utilities, & meals.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
52,"Chelsea Clinton said, “It’s time to force-jab every unvaccinated child in America.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
53,Democrats “introduced a bill that would ban detaining gay illegal immigrants.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
54,Florida lawmakers danced “after passing anti-trans legislation.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
55,"Gov. Ron DeSantis signed “a last-minute exception into an anti-discrimination law for anyone who also operates a theme park more than 25 acres in Florida,” benefiting Walt Disney Co.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
56,Minority Leader Robert Reives “sent out a statement … encouraging us to resign and/or (face) a primary challenge.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
57,Sen. Tommy Tuberville is preventing military promotions “because he objects to women within the military getting access to reproductive care.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
58,The World Economic Forum and the United Nations have “ordered world governments to ration people’s water supply.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
59,"Emergency stimulus loans “are finally available to U.S. citizens up to $5,000 even with poor credit.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
60,"“Buyers with good credit scores will pay even more to cover for those with bad credit.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
61,"A Florida elections bill “guts everything” “instead of getting tough, and doing what the people want (same day voting, Voter ID, proof of Citizenship, paper ballots, hand count, etc.).”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
62,A Minnesota lawmaker introduced a bill that would make it “illegal to discriminate against child rapists.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
63,There is “$500 billion of unspent COVID money” that can be rescinded.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
64,New York Gov. Kathy Hochul wants “quarantine camps” and “imprisonment” if you’re suspected of having a disease.,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
65,"Chick-fil-A “donates another $1.8 million to anti-LGBTQ groups,” backtracking on its promise not to.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
66,“The Antarctic ice cap is not melting.”,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
67,"""Scientists struggle to understand why Antarctica hasn’t warmed for over 70 years despite rise in CO2.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
68,A video proves that “our own government is acknowledging that they’re spraying the skies” with toxic chemicals.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
69,"""In the 1960s, liberals emptied our psych wards.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
70,The RESTRICT Act would allow the U.S. government to “charge you with a felony and $1 million for having a VPN.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
71,The U.S. Department of Defense awarded a contract for COVID-19 research in Ukraine months before the virus was known.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
72,Cash App founder Bob Lee’s death is connected to FedNow.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
73,Actions of the Tennessee state legislators who protested against gun violence were “at least equivalent” to the actions of the Jan. 6 insurrectionists.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
74,Abortion pills are dangerous and “1 in 5 women will suffer a complication.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
75,New Kansas law will “authorize genital inspections of children in order for kids to play sports.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
76,“Nike lost a lawsuit against antisemitism and has to give away gift cards to its customers.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
77,“The 5 states with the highest gun homicide rates in the nation all have loose gun laws” while “the 5 states with the lowest rates have some of the toughest laws.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
78,Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-true/25acde30f2a9b90f9688a5380c39e8eb.jpg
79,“North Carolina ranks last in the country in K-12 funding.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
80,There have been no new COVID-19 variants since Dr. Anthony Fauci retired.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
81,"""Vitamins aren’t FDA approved, but Twinkies are.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
82,"A video shows Florida Gov. Ron DeSantis saying, “Now Trump’s been indicted, now the people will have no choice but to accept me as their assigned candidate.”",https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
83,“President Trump is officially a political prisoner.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
84,"“In the next two years, we'll spend more on interest on our national debt than we do on the national defense.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
85,Video clip shows that protesters in Tennessee “made their way onto the state capitol floor.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
86,The FedNow program “is going to replace your paper currency.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
87,Solar companies “have to give solar panels away for completely no net cost.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
88,The Nashville shooter was wearing different pairs of shoes before and after being killed.,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
89,“The UK has had ZERO school shootings since” it changed its gun laws after a 1996 school shooting.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
90,DO Black credit card is part of a government plot to control people’s lives.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
91,“We have a national debt the size of our nation’s economy for the first time since World War II.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
92,Video shows President Joe Biden talking about what “stable Jesus” said about airports.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
93,“Every single county in New York has experienced a federal climate disaster between 2011-2021.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
94,"At a Wisconsin school, a 12-year-old girl ""was transitioned into a boy by school officials without parental consent,"" and Protasiewicz supports it.",https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
95,“Gun violence is the number one killer of children and teens — it has overtaken cars.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
96,"Climate change is caused by corporations using ""weather modification patents.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
97,On red flag laws.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-full-flop/ad5b228627f4e9b88e37cb2d78b508d1.jpg
98,“We cut Black child poverty in half in 2021 because of the child tax credit.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
99,Silicon Valley Bank “donated $73M to 'BLM Movement'”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
100,"""Businesses large and small have led Texas to be ranked the number one state for business every year that I’ve been governor.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
101,"Under a GOP bill on cash bail, ""a large quantity of people who are accused of crimes, including anyone who even witnesses certain crimes, could now be detained and subject to bail.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
102,"""We’re just burning 300 gallons of jet fuel to de-ice this clean energy wind turbine … that needs 80 gallons of synthetic oil to operate.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
103,Kari Lake called Trump the “fattest president since Taft” in a 2016 tweet.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
104,"""Ron DeSantis wants to raise the retirement age to 70.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
105,Walgreens’ position “has always been” to “dispense Mifepristone in any jurisdiction where it is legally permissible to do so.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
106,On drilling on federal lands.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-full-flop/ad5b228627f4e9b88e37cb2d78b508d1.jpg
107,“Elon Musk bans Greta Thunberg from Twitter.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
108,Photos of the Statue of Liberty taken in 1920 and 2020 show that the sea level hasn’t changed.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
109,"""Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
110,“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
111,"Elon Musk tweeted, “The world is flat.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
112,"Democrats ""want to ban gas powered cars and gas stoves.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
113,Wake County is the only large county in North Carolina that elects its commissioners at-large countywide.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
114,"Because of daylight saving time, “NO alarm set for the 2:00 a.m. hour will go off” on March 12.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
115,"Energy Secretary Jennifer Granholm met ""with the radical green energy group behind the gas stove ban,"" which ""has ties to the"" Chinese Communist Party.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
116,Bill Gates claims to be a “valid representative of the pharmaceutical industry” because he “read a lot of books about that topic.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
117,The White House Visitor Center is displaying a photo of a fake President Joe Biden.,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
118,"""The Biden administration is floating a new” climate strategy: Don't leave your house.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
119,"“The youth suicide rate has increased exponentially alongside trans affirmation. Trans affirmation causes the suicide rate, not the other way around.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
120,“Muslims by the millions are converting to Christianity.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
121,Photo of electric charging station “powered by diesel generator” is emblematic of the electric vehicle movement.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
122,Video shows President Joe Biden recalling an alien encounter.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
123,“Official govt docs expose Michelle Obama’s 14 year history as a man.”,https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
124,“The whole green energy agenda involves more than doubling 10 types of mining.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
125,53% of Americans made aware of the Hunter Biden laptop story would have changed their vote in 2020.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
126,"""The laws governing Agenda 2030 land development allows the government to seize polluted lands and move their residents to … smart cities.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
127,“Joe Biden changes the name of Black History Month.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
128,"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
129,Photo shows “what railways in Ohio look like while we send $40 billion to Ukraine.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
130,“President Joe Biden admits to faking the election.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
131,"“Because the Covid shots are still manufactured under the Emergency Use Authorization, they can change up to 49% of the ingredients without FDA approval.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
132,"The “average tax” for billionaires is “about 3%,” which is “a lower tax than a schoolteacher or a firefighter.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
133,“Obama imposed stricter rules on trains carrying toxins. Trump killed them.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
134,"""Energy costs are the highest in 15 years.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
135,"“Humans are not causing climate change.” Magnetic pole shifting “is causing havoc worldwide in weather, climate, earthquakes, tsunamis, etc.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
136,"""It's President Biden who is proposing to cut Medicare Advantage.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
137,On running against Donald Trump for president.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-full-flop/ad5b228627f4e9b88e37cb2d78b508d1.jpg
138,"“Right now, driving 100 miles in an electric vehicle is more expensive than driving an internal combustion engine car.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
139,Canada is to thank for American football.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
140,"“We used to rank No. 1 in the world in research and development, now we rank No. 9. China used to rank No. 8, now it ranks No. 2.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
141,"""Joe Biden's wide open southern border"" is to blame for fentanyl deaths in the U.S.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
142,"“In the past two years, democracies have become stronger, not weaker. Autocracies have grown weaker, not stronger.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
143,An ingredient in some of Chick-fil-A’s dipping sauces can cause serious health problems.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
144,"In Wisconsin, even multimillionaires can be on BadgerCare ""because we don't even ask people what their income level is to qualify for free health care.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/f12c46163413a4e294a7eb324ef9f387.jpg
145,"If New York’s proposed limits on natural gas in buildings take effect, the grid today can’t handle the increased electric load.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-true/25acde30f2a9b90f9688a5380c39e8eb.jpg
146,Wind farm construction is a possible cause of dead whales washing ashore in New Jersey.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
147,"""During my time in office, we've increased per pupil aid by more than $300 per student. Now, our schools have returned to the top 10 in the country after falling to 17 under the previous administration.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
148,"Backyard chicken flocks have stopped laying eggs, and the feed is responsible.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
149,"""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
